RNA_N1	RNA_N2	RNA_N3	RNA_E5_1	RNA_E5_2	RNA_E5_3	RNA_L5_1	RNA_L5_2	RNA_L5_3	RNA_L21_1	RNA_L21_2	RNA_L21_3	RNA_L35_1	RNA_L35_2	RNA_L35_3
ENSMUSG00000001227	3	0	1	9	5	3	1	1	1	2	17	5	11	1	3
ENSMUSG00000001228	527	380	291	1159	1828	5482	6158	6676	4800	583	694	524	1908	873	1366
ENSMUSG00000001229	2010	1629	1417	1827	2012	2002	1651	1861	1603	1092	1034	555	1594	1377	1233
ENSMUSG00000001240	4	0	2	11	18	9	12	16	11	3	10	2	9	5	12
ENSMUSG00000001247	14	9	3	30	26	35	67	73	93	39	59	22	47	35	50
ENSMUSG00000001248	6095	6814	4391	2554	2555	1970	873	1316	1381	2871	2258	1604	4028	4045	5154
ENSMUSG00000001249	12	0	1	12	17	14	1	5	5	14	29	7	19	14	21
ENSMUSG00000001260	2	0	0	0	0	1	0	0	1	0	0	1	0	0	1
ENSMUSG00000001270	281	520	252	246	364	257	415	539	374	2075	1924	859	2825	1691	2799
ENSMUSG00000001280	2651	2629	1286	1512	1602	936	1149	1331	1690	711	966	920	1255	908	1503
ENSMUSG00000001281	16131	14341	15807	14790	13934	16629	7152	10204	8315	1483	2753	680	1873	2026	2495
ENSMUSG00000001285	2429	2696	1958	2300	2676	3744	2719	3494	2482	1851	1893	2102	2937	1794	2442
ENSMUSG00000001288	1014	1434	981	131	145	112	127	233	204	111	160	55	183	66	171
ENSMUSG00000001289	15577	12891	12523	15089	15602	14577	8875	13742	11163	21069	19360	16041	22289	16482	19870
ENSMUSG00000001300	14	5	2	5	6	1	5	16	16	3	18	12	7	2	3
ENSMUSG00000001305	1253	1559	1106	847	779	455	1659	1949	1800	749	776	772	770	824	1129
ENSMUSG00000001313	1	5	0	2	3	4	3	6	2	9	9	5	15	19	5
ENSMUSG00000001323	145	216	127	161	159	108	96	150	130	232	190	204	268	150	264
ENSMUSG00000001333	9	3	3	1	5	4	5	5	4	0	3	12	7	1	5
ENSMUSG00000001334	80	66	65	14	24	15	12	18	14	8	40	47	41	40	52
ENSMUSG00000001348	17169	15800	13185	13296	13790	12502	2804	4067	3247	4438	4298	3259	4716	4642	5364
ENSMUSG00000001349	8	3	0	0	3	4	0	2	5	1	5	8	2	2	9
ENSMUSG00000001366	976	1141	685	788	798	556	355	545	505	1044	793	589	1018	825	1480
ENSMUSG00000001376	963	1626	575	700	747	358	629	655	875	778	680	737	895	861	1386
ENSMUSG00000001380	2567	2627	1897	2994	3374	3794	4229	5004	4058	3211	2034	3140	4066	3410	3231
ENSMUSG00000001383	3229	3393	2747	4442	4642	4132	3881	4805	4110	4081	3782	3996	5393	3539	4861
ENSMUSG00000001403	70	22	2	1757	2087	6348	7281	8268	6214	588	935	345	2024	902	3297
ENSMUSG00000001415	1327	2018	1066	1097	1043	776	709	757	807	682	744	550	902	892	1171
ENSMUSG00000001416	11319	10148	8525	7502	7981	8095	13422	15705	12180	7113	6434	7625	8996	7426	8637
ENSMUSG00000001418	5599	6178	4521	8333	10146	11908	4862	6747	4840	8024	6451	9436	10395	5842	8513
ENSMUSG00000001419	2067	2325	1287	1206	1163	654	537	668	782	553	541	503	925	697	883
ENSMUSG00000001420	26	47	45	30	42	42	32	49	31	27	51	28	22	37	34
ENSMUSG00000001424	4603	4208	4062	3700	3893	3862	4407	5766	4621	2953	3131	1662	4604	3027	2578
ENSMUSG00000001435	21	11	7	2	8	4	2	5	6	1	5	0	11	2	5
ENSMUSG00000001436	1244	1471	1283	709	907	762	2765	3143	2340	552	669	861	1132	807	818
ENSMUSG00000001440	2019	2099	1323	1643	1770	1063	1937	2225	2366	1076	1269	1706	1683	1445	1755
